add-yield-none,8,1000,16000,1512109,94,176
add-yield-none,12,1000,24000,1748820,72,263
add-yield-none,2,10000,40000,12557870,313,-118
add-yield-none,4,10000,80000,12415779,155,57
add-yield-none,8,10000,160000,12882523,80,173
add-yield-none,12,10000,240000,14818380,61,231
add-yield-none,2,100000,400000,122143210,305,-98
add-yield-none,4,100000,800000,125681989,157,-2210
add-yield-none,8,100000,1600000,124534524,77,-1556
add-yield-none,12,100000,2400000,154602978,64,-18058
add-none,1,100,200,150461,752,0
add-none,1,1000,2000,171390,85,0
add-none,1,10000,20000,338382,16,0
add-none,1,100000,200000,2283635,11,0
add-none,1,1000000,2000000,21276153,10,0
add-none,2,100,400,169478,423,0
add-none,2,1000,4000,206664,51,71
add-none,2,10000,40000,742070,18,-1749
add-none,2,100000,400000,6318699,15,-21437
add-none,2,1000000,4000000,63150572,15,-324520
add-none,4,100,800,169044,211,0
add-none,4,1000,8000,274698,34,147
add-none,4,10000,80000,1735824,21,-1190
add-none,4,100000,800000,16100723,20,-47993
add-none,4,1000000,8000000,122768173,15,-262154
add-yield-none,1,100,200,258674,1293,0
add-yield-none,1,1000,2000,1330314,665,0
add-yield-none,1,10000,20000,11599976,579,0
add-yield-none,1,100000,200000,103615474,518,0
add-yield-none,1,1000000,2000000,1047683083,523,0
add-yield-none,2,100,400,283112,707,-2
add-yield-none,2,1000,4000,1516303,379,-76
add-yield-none,2,10000,40000,12697954,317,-101
add-yield-none,2,100000,400000,124638935,311,-876
add-yield-none,2,1000000,4000000,1249239456,312,-12128
add-yield-none,4,100,800,330328,412,72
add-yield-none,4,1000,8000,1525123,190,104
add-yield-none,4,10000,80000,12862256,160,61
add-yield-none,4,100000,800000,123745455,154,-1211
add-yield-none,4,1000000,8000000,1300943095,162,-7912
add-yield-m,2,10000,40000,41554878,1038,0
add-yield-m,4,10000,80000,106843844,1335,0
add-yield-m,8,10000,160000,234327817,1464,0
add-yield-m,12,10000,240000,366933843,1528,0
add-yield-c,2,10000,40000,23928756,598,0
add-yield-c,4,10000,80000,52772501,659,0
add-yield-c,8,10000,160000,116762088,729,0
add-yield-c,12,10000,240000,180846482,753,0
add-yield-s,2,10000,40000,28770794,719,0
add-yield-s,4,10000,80000,56444171,705,0
add-yield-s,8,1000,16000,11567000,722,0
add-yield-s,12,1000,24000,18920066,788,0
add-m,1,10000,20000,820456,41,0
add-m,2,10000,40000,4281335,107,0
add-m,4,10000,80000,17896457,223,0
add-m,8,10000,160000,38298690,239,0
add-m,12,10000,240000,61803601,257,0
add-c,1,10000,20000,560956,28,0
add-c,2,10000,40000,1873405,46,0
add-c,4,10000,80000,6055259,75,0
add-c,8,10000,160000,14177291,88,0
add-c,12,10000,240000,19848427,82,0
add-s,1,10000,20000,475025,23,0
add-s,2,10000,40000,4234860,105,0
add-s,4,10000,80000,15250506,190,0
add-s,8,10000,160000,42204331,263,0
add-s,12,10000,240000,67242080,280,0
add-none,2,100,400,171160,427,0
add-none,2,1000,4000,215929,53,-289
add-none,2,10000,40000,837622,20,-2749
add-none,2,100000,400000,6674420,16,-27835
add-none,4,100,800,206614,258,-45
add-none,4,1000,8000,212339,26,0
add-none,4,10000,80000,1477473,18,-443
add-none,4,100000,800000,12892456,16,-24491
add-none,8,100,1600,286188,178,0
add-none,8,1000,16000,473885,29,603
add-none,8,10000,160000,2998288,18,-3325
add-none,8,100000,1600000,28879516,18,-17255
add-none,12,100,2400,380535,158,0
add-none,12,1000,24000,582959,24,-606
add-none,12,10000,240000,4401827,18,-2402
add-none,12,100000,2400000,42921995,17,-10559
add-yield-none,2,10,40,168429,4210,0
add-yield-none,4,10,80,176152,2201,7
add-yield-none,8,10,160,298514,1865,3
add-yield-none,12,10,240,412776,1719,4
add-yield-none,2,20,80,136920,1711,18
add-yield-none,4,20,160,190829,1192,21
add-yield-none,8,20,320,312654,977,57
add-yield-none,12,20,480,379238,790,94
add-yield-none,2,40,160,214799,1342,-3
add-yield-none,4,40,320,249928,781,18
add-yield-none,8,40,640,308350,481,112
add-yield-none,12,40,960,434319,452,271
add-yield-none,2,80,320,268334,838,0
add-yield-none,4,80,640,260212,406,71
add-yield-none,8,80,1280,414933,324,6
add-yield-none,12,80,1920,491694,256,179
add-yield-none,2,100,400,286134,715,3
add-yield-none,4,100,800,271311,339,45
add-yield-none,8,100,1600,405829,253,139
add-yield-none,12,100,2400,460506,191,193
add-yield-none,2,1000,4000,1424883,356,-26
add-yield-none,4,1000,8000,1468730,183,152
add-yield-none,8,1000,16000,1634623,102,262
add-yield-none,12,1000,24000,1736452,72,281
add-yield-none,2,10000,40000,12854450,321,-47
add-yield-none,4,10000,80000,12786951,159,-77
add-yield-none,8,10000,160000,13061571,81,164
add-yield-none,12,10000,240000,14872032,61,238
add-yield-none,2,100000,400000,125155313,312,28
add-yield-none,4,100000,800000,125180585,156,-172
add-yield-none,8,100000,1600000,134036600,83,186
add-yield-none,12,100000,2400000,149382125,62,-9024
add-none,1,100,200,199281,996,0
add-none,1,1000,2000,158597,79,0
add-none,1,10000,20000,340841,17,0
add-none,1,100000,200000,2245878,11,0
add-none,1,1000000,2000000,21366942,10,0
add-none,2,100,400,157862,394,0
add-none,2,1000,4000,162386,40,-16
add-none,2,10000,40000,882186,22,-2118
add-none,2,100000,400000,7381487,18,-16232
add-none,2,1000000,4000000,61901738,15,-227890
add-none,4,100,800,200030,250,0
add-none,4,1000,8000,267162,33,-370
add-none,4,10000,80000,1724044,21,-1253
add-none,4,100000,800000,14241738,17,-25438
add-none,4,1000000,8000000,128916409,16,-198483
add-yield-none,1,100,200,240133,1200,0
add-yield-none,1,1000,2000,1235336,617,0
add-yield-none,1,10000,20000,11000451,550,0
add-yield-none,1,100000,200000,102196879,510,0
add-yield-none,1,1000000,2000000,1062371835,531,0
add-yield-none,2,100,400,285892,714,38
add-yield-none,2,1000,4000,1463574,365,-3
add-yield-none,2,10000,40000,10986245,274,-2
add-yield-none,2,100000,400000,123081780,307,-3734
add-yield-none,2,1000000,4000000,1224447762,306,-13248
add-yield-none,4,100,800,309118,386,-3
add-yield-none,4,1000,8000,1452773,181,74
add-yield-none,4,10000,80000,12716832,158,-34
add-yield-none,4,100000,800000,126106289,157,-302
add-yield-none,4,1000000,8000000,1261146392,157,4061
add-yield-m,2,10000,40000,40138332,1003,0
add-yield-m,4,10000,80000,93944272,1174,0
add-yield-m,8,10000,160000,239174465,1494,0
add-yield-m,12,10000,240000,362198682,1509,0
add-yield-c,2,10000,40000,22041227,551,0
add-yield-c,4,10000,80000,52793290,659,0
add-yield-c,8,10000,160000,121096020,756,0
add-yield-c,12,10000,240000,194520859,810,0
add-yield-s,2,10000,40000,31471714,786,0
add-yield-s,4,10000,80000,57855271,723,0
add-yield-s,8,1000,16000,11105398,694,0
add-yield-s,12,1000,24000,17644334,735,0
add-m,1,10000,20000,878734,43,0
add-m,2,10000,40000,4872780,121,0
add-m,4,10000,80000,18805453,235,0
add-m,8,10000,160000,36373928,227,0
add-m,12,10000,240000,61320857,255,0
add-c,1,10000,20000,522322,26,0
add-c,2,10000,40000,1869391,46,0
add-c,4,10000,80000,6258939,78,0
add-c,8,10000,160000,12085418,75,0
add-c,12,10000,240000,21506092,89,0
add-s,1,10000,20000,612966,30,0
add-s,2,10000,40000,4734263,118,0
add-s,4,10000,80000,20119221,251,0
add-s,8,10000,160000,39374686,246,0
add-s,12,10000,240000,75367928,314,0
add-none,2,100,400,176577,441,45
add-none,2,1000,4000,169471,42,-105
add-none,2,10000,40000,830297,20,-2570
add-none,2,100000,400000,6283344,15,-20743
add-none,4,100,800,195826,244,-1
add-none,4,1000,8000,228102,28,-396
add-none,4,10000,80000,1535396,19,-687
add-none,4,100000,800000,12989295,16,-10360
add-none,8,100,1600,274607,171,51
add-none,8,1000,16000,497896,31,816
add-none,8,10000,160000,2860586,17,-796
add-none,8,100000,1600000,29884512,18,-23149
add-none,12,100,2400,396771,165,-44
add-none,12,1000,24000,622986,25,-112
add-none,12,10000,240000,4298435,17,-1628
add-none,12,100000,2400000,42431074,17,-40933
add-yield-none,2,10,40,151802,3795,0
add-yield-none,4,10,80,230331,2879,0
add-yield-none,8,10,160,343063,2144,20
add-yield-none,12,10,240,431261,1796,17
add-yield-none,2,20,80,183891,2298,0
add-yield-none,4,20,160,227315,1420,13
add-yield-none,8,20,320,315060,984,55
add-yield-none,12,20,480,509716,1061,30
add-yield-none,2,40,160,184779,1154,23
